,Engagement,,
Tag,Circles,Clouds,Shimmer
Shape,3,4,5
Colour,0,2,1
Clarity,7,2,0
Incoherent,1,1,2
Complexity,0,3,4
Responsive,3,0,1
,,,
,,,
,,,
,Intuitivity,,
Tag,Circles,Clouds,Shimmer
Expected,8,7,1
Unexpected,1,2,6
Unclear mapping,2,1,1
Incomplete,3,3,7
Incoherent,2,3,1
,,,
,Improvements,,
Tag,Circles,Clouds,Shimmer
Pitch,2,0,3
Colours,2,2,0
Timbre,3,0,1
Responsiveness,1,3,2
Genre,2,0,0
Clarity,0,5,4
Tempo,0,0,1
